raceId,constructorId,points
18,1,14.0
18,2,8.0
18,3,9.0
18,4,5.0
18,5,2.0
18,6,1.0
18,7,0.0
18,8,0.0
18,9,0.0
18,10,0.0
18,11,0.0
19,6,10.0
19,2,11.0
19,1,10.0
19,7,5.0
19,9,2.0
19,4,1.0
19,11,0.0
19,10,0.0
19,3,0.0
19,8,0.0
19,5,0.0
20,6,18.0
20,2,11.0
20,1,4.0
20,7,3.0
20,9,2.0
20,3,1.0
20,4,0.0
20,11,0.0
20,10,0.0
20,5,0.0
20,8,0.0
21,6,18.0
21,1,6.0
21,2,5.0
21,9,4.0
21,11,3.0
21,3,2.0
21,7,1.0
21,10,0.0
21,8,0.0
21,4,0.0
21,5,0.0
22,6,16.0
22,1,8.0
22,2,9.0
22,4,3.0
22,9,2.0
22,3,1.0
22,7,0.0
22,11,0.0
22,10,0.0
22,5,0.0
23,1,11.0
23,2,8.0
23,6,6.0
23,9,5.0
23,5,4.0
23,11,3.0
23,3,2.0
23,4,0.0
23,7,0.0
23,10,0.0
24,2,18.0
24,9,6.0
24,7,8.0
24,6,4.0
24,11,2.0
24,5,1.0
24,1,0.0
24,3,0.0
24,10,0.0
24,4,0.0
25,6,18.0
25,7,6.0
25,1,5.0
25,2,4.0
25,9,3.0
25,4,3.0
25,5,0.0
25,11,0.0
25,3,0.0
25,10,0.0
26,1,14.0
26,2,8.0
26,11,6.0
26,6,5.0
26,4,3.0
26,7,2.0
26,3,1.0
26,9,0.0
26,5,0.0
26,10,0.0
27,1,14.0
27,4,8.0
27,6,9.0
27,2,7.0
27,5,1.0
27,7,0.0
27,3,0.0
27,9,0.0
27,10,0.0
27,11,0.0
28,1,14.0
28,7,10.0
28,6,6.0
28,4,8.0
28,2,1.0
28,9,0.0
28,11,0.0
28,3,0.0
28,10,0.0
28,5,0.0
29,6,10.0
29,1,13.0
29,2,6.0
29,7,6.0
29,5,3.0
29,3,1.0
29,4,0.0
29,9,0.0
29,11,0.0
29,10,0.0
30,6,10.0
30,2,11.0
30,1,6.0
30,4,5.0
30,5,6.0
30,9,1.0
30,7,0.0
30,3,0.0
30,10,0.0
30,11,0.0
31,5,10.0
31,1,10.0
31,2,10.0
31,4,5.0
31,6,3.0
31,9,1.0
31,7,0.0
31,3,0.0
31,11,0.0
31,10,0.0
32,4,10.0
32,3,9.0
32,1,6.0
32,7,5.0
32,5,4.0
32,2,3.0
32,9,2.0
32,11,0.0
32,6,0.0
32,10,0.0
33,4,15.0
33,2,8.0
33,6,8.0
33,7,4.0
33,5,3.0
33,9,1.0
33,3,0.0
33,1,0.0
33,11,0.0
33,10,0.0
34,1,10.0
34,6,14.0
34,4,6.0
34,2,7.0
34,7,2.0
34,5,0.0
34,9,0.0
34,11,0.0
34,3,0.0
34,10,0.0
35,6,16.0
35,4,8.0
35,5,5.0
35,1,6.0
35,7,4.0
35,9,0.0
35,2,0.0
35,3,0.0
35,11,0.0
35,10,0.0
36,6,13.0
36,1,14.0
36,2,5.0
36,4,4.0
36,3,2.0
36,7,1.0
36,11,0.0
36,8,0.0
36,9,0.0
36,5,0.0
36,12,0.0
37,1,18.0
37,6,10.0
37,2,5.0
37,4,4.0
37,7,2.0
37,3,0.0
37,9,0.0
37,11,0.0
37,8,0.0
37,5,0.0
37,12,0.0
38,6,16.0
38,1,12.0
38,2,8.0
38,7,2.0
38,4,1.0
38,3,0.0
38,11,0.0
38,12,0.0
38,8,0.0
38,9,0.0
38,5,0.0
39,6,10.0
39,1,14.0
39,2,5.0
39,9,4.0
39,3,3.0
39,4,2.0
39,8,1.0
39,11,0.0
39,12,0.0
39,7,0.0
39,5,0.0
40,1,18.0
40,6,7.0
40,4,5.0
40,2,7.0
40,3,2.0
40,5,0.0
40,11,0.0
40,9,0.0
40,7,0.0
40,8,0.0
40,12,0.0
41,1,12.0
41,2,8.0
41,3,6.0
41,4,5.0
41,6,4.0
41,8,3.0
41,7,1.0
41,9,0.0
41,11,0.0
41,5,0.0
41,12,0.0
42,1,18.0
42,6,11.0
42,4,4.0
42,7,3.0
42,9,2.0
42,2,1.0
42,3,0.0
42,8,0.0
42,11,0.0
42,5,0.0
42,12,0.0
43,6,18.0
43,1,8.0
43,2,9.0
43,4,3.0
43,11,1.0
43,3,0.0
43,7,0.0
43,9,0.0
43,8,0.0
43,12,0.0
43,5,0.0
44,6,14.0
44,1,14.0
44,2,8.0
44,4,3.0
44,11,0.0
44,9,0.0
44,3,0.0
44,8,0.0
44,12,0.0
44,5,0.0
44,7,0.0
45,1,10.0
45,6,8.0
45,9,10.0
45,3,5.0
45,2,5.0
45,4,1.0
45,11,0.0
45,8,0.0
